,age,total_onboard,survivors,deceased,percent_s,percent_d
0,0.0,3,2,1,67.0,33.0
1,1.0,19,15,4,79.0,21.0
2,2.0,12,4,8,33.0,67.0
3,3.0,7,5,2,71.0,29.0
4,4.0,10,7,3,70.0,30.0
5,5.0,5,4,1,80.0,20.0
6,6.0,6,3,3,50.0,50.0
7,7.0,4,2,2,50.0,50.0
8,8.0,6,4,2,67.0,33.0
9,9.0,10,4,6,40.0,60.0
10,10.0,4,0,4,0.0,100.0
11,11.0,4,1,3,25.0,75.0
12,12.0,4,3,1,75.0,25.0
13,13.0,5,3,2,60.0,40.0
14,14.0,10,4,6,40.0,60.0
15,15.0,6,5,1,83.0,17.0
16,16.0,19,8,11,42.0,58.0
17,17.0,20,7,13,35.0,65.0
18,18.0,42,14,28,33.0,67.0
19,19.0,29,11,18,38.0,62.0
20,20.0,24,8,16,33.0,67.0
21,21.0,41,11,30,27.0,73.0
22,22.0,44,20,24,45.0,55.0
23,23.0,26,10,16,38.0,62.0
24,24.0,49,22,27,45.0,55.0
25,25.0,34,11,23,32.0,68.0
26,26.0,31,11,20,35.0,65.0
27,27.0,30,13,17,43.0,57.0
28,28.0,35,8,27,23.0,77.0
29,29.0,30,13,17,43.0,57.0
30,30.0,42,15,27,36.0,64.0
31,31.0,23,12,11,52.0,48.0
32,32.0,28,12,16,43.0,57.0
33,33.0,21,9,12,43.0,57.0
34,34.0,18,6,12,33.0,67.0
35,35.0,23,13,10,57.0,43.0
36,36.0,33,15,18,45.0,55.0
37,37.0,9,2,7,22.0,78.0
38,38.0,15,6,9,40.0,60.0
39,39.0,20,8,12,40.0,60.0
40,40.0,21,6,15,29.0,71.0
41,41.0,11,2,9,18.0,82.0
42,42.0,18,6,12,33.0,67.0
43,43.0,9,3,6,33.0,67.0
44,44.0,10,3,7,30.0,70.0
45,45.0,21,14,7,67.0,33.0
46,46.0,8,0,8,0.0,100.0
47,47.0,14,3,11,21.0,79.0
48,48.0,14,10,4,71.0,29.0
49,49.0,9,5,4,56.0,44.0
50,50.0,15,6,9,40.0,60.0
51,51.0,8,3,5,38.0,62.0
52,52.0,6,3,3,50.0,50.0
53,53.0,4,4,0,100.0,0.0
54,54.0,10,5,5,50.0,50.0
55,55.0,8,4,4,50.0,50.0
56,56.0,5,2,3,40.0,60.0
57,57.0,5,0,5,0.0,100.0
58,58.0,6,4,2,67.0,33.0
59,59.0,3,1,2,33.0,67.0
60,60.0,8,4,4,50.0,50.0
61,61.0,5,0,5,0.0,100.0
62,62.0,5,2,3,40.0,60.0
63,63.0,4,2,2,50.0,50.0
64,64.0,5,2,3,40.0,60.0
65,65.0,3,0,3,0.0,100.0
66,66.0,1,0,1,0.0,100.0
67,67.0,1,0,1,0.0,100.0
68,70.0,3,0,3,0.0,100.0
69,71.0,2,0,2,0.0,100.0
70,74.0,1,0,1,0.0,100.0
71,76.0,1,1,0,100.0,0.0
72,80.0,1,1,0,100.0,0.0
