fare,passengers,percentSurvived
0.0,4,25.0
3.17,1,100.0
4.01,1,0.0
6.24,1,0.0
6.44,3,0.0
6.45,1,0.0
6.5,3,0.0
6.75,2,0.0
6.86,1,0.0
6.95,2,50.0
6.98,2,50.0
7.0,2,50.0
7.05,12,8.33
7.12,4,0.0
7.14,1,100.0
7.22,21,23.81
7.23,24,29.17
7.25,18,5.56
7.28,1,0.0
7.31,1,0.0
7.5,3,33.33
7.52,1,0.0
7.55,8,25.0
7.58,2,50.0
7.63,2,0.0
7.65,6,50.0
7.72,3,66.67
7.73,8,37.5
7.74,3,33.33
7.75,55,30.91
7.78,27,29.63
7.79,1,100.0
7.8,11,45.45
7.82,1,100.0
7.83,3,33.33
7.85,22,18.18
7.88,11,36.36
7.89,2,50.0
7.9,49,2.04
7.92,23,39.13
8.03,1,100.0
8.05,60,15.0
8.11,2,50.0
8.14,1,0.0
8.16,1,0.0
8.3,1,0.0
8.36,1,0.0
8.4,1,0.0
8.43,1,0.0
8.46,1,0.0
8.52,2,100.0
8.65,1,0.0
8.66,21,4.76
8.68,1,100.0
8.71,2,0.0
8.85,1,0.0
8.96,1,100.0
9.0,2,0.0
9.22,4,25.0
9.32,1,0.0
9.35,3,66.67
9.48,2,0.0
9.5,12,25.0
9.59,2,50.0
9.82,2,0.0
9.84,2,50.0
9.85,1,0.0
10.17,1,0.0
10.46,2,0.0
10.52,1,0.0
11.13,3,100.0
11.24,2,100.0
12.18,2,0.0
12.29,2,100.0
12.48,4,100.0
13.42,2,100.0
13.78,3,0.0
13.9,2,50.0
14.11,2,50.0
14.4,3,0.0
14.45,10,10.0
14.46,4,0.0
14.5,9,0.0
15.1,2,0.0
15.25,9,66.67
15.5,10,40.0
15.55,2,0.0
15.74,3,100.0
15.85,4,50.0
15.9,3,100.0
16.1,12,25.0
16.7,3,100.0
17.4,2,100.0
17.8,2,0.0
18.0,4,0.0
18.79,2,50.0
19.26,4,100.0
19.97,2,0.0
20.21,3,0.0
20.25,3,33.33
20.52,3,66.67
20.58,4,75.0
21.08,5,0.0
21.68,3,0.0
22.02,3,100.0
22.36,3,100.0
22.52,3,0.0
23.25,3,100.0
23.45,4,0.0
24.15,9,11.11
25.47,5,0.0
27.9,6,0.0
29.12,6,0.0
31.28,7,0.0
31.39,7,42.86
34.38,5,0.0
39.69,7,0.0
46.9,8,0.0
56.5,8,75.0
69.55,11,0.0
